header,price_cad,sales,seller,details,description,availability,num_reviews
Custom Paracord Bracelet Dad Gift Baby Footprint Bracelet Personalized Bracelet Gift For Husband Mens Bracelet Gift For Men Paracord,36.9,9554.0,MetamorphosisDS,"['Handmade item', 'Materials: Nylon, Stainless steel', 'Adjustable: No', 'Closure: Buckle', 'Can be personalised: Yes\n\nBracelet width: 7/8 Inches\n\nMade to Order']","A unique custom paracord bracelet that features your baby's actual footprints. Perfect dad gift or for that proud grandfather. This personalized bracelet will have footprints from each of your three children with their initials under each of their prints.✷ If you would like to customize your bracelet with a photo of your child or ultrasound, I would be happy to do that for you. :)Have ONE child? Here is my listing for the paracord bracelet featuring footprints from your kiddo:https://www.etsy.com/listing/511891426/personalized-father-bracelet-paracordhttps://www.etsy.com/listing/167517995/custom-paracord-bracelet-footprintHave TWO children? Here is my listing for the paracord bracelet featuring footprints from 2 of your kiddo's:https://www.etsy.com/listing/244535097/custom-paracord-bracelet-footprintYour baby's footprints will be printed on fine art paper and preserved in jewelers grade resin. Resin is crystal clear and extremely durable. All of the resin I use to create my jewelry is hand poured by me, creating an unbreakable, waterproof seal to ensure lasting quality of each piece. Even though it is waterproof, I do not recommend wearing in the shower or while swimming. Made with approximately 12 feet of 550 Paracord. 550 Paracord is a parachute cord used by the military that is strong, lightweight, and invaluable in any survival kit. It has been tested to hold up to 550 lbs. and is made in the USA. Closure is a 5/8"" buckle. The bracelet itself measures approximately 7/8"" wide. The pendant used in these bracelets is a rectangle shape and is made of stainless steel. Image measures 11mm X 16mm. Available using reverse footprint image as well (ex. white background with black footprints).❮ HOW TO ORDER & CUSTOMIZATION ❯To choose inner color and outer color, please refer to photo 3.  In the bracelet pictured, Black is the inner color and Urban Camo is the outer color. From the first drop down tab please select:➤ select the inner color for your braceletFrom the 2nd drop down tab please select:➤ select the outer color for your bracelet➤ At checkout leave me a note in the ""note to seller"" box with your kiddo's name along with the font you would like used. If no font is chosen, I will use the one pictured, which is Typewriter. Please send the wrist measurement as well.✷Here is how to measure for your bracelet due to it being MADE TO FIT and IS NOT ADJUSTABLE:Take an ordinary sheet of copy (or printer) paper, and along the long side, cut off a strip approximately one half inch in width.  1. Wrap the strip of plain paper around your wrist. It should be comfortable, just touching your wrist on all surfaces. 2.At the overlap of the paper, place a pencil mark on the paper. This may be done accurately and easily if you get someone to help you. 3.Using a ruler, lay the paper out flat and measure from the end to the mark (in inches). ** PLEASE NOTE -  IF YOU ARE UNABLE TO MEASURE THE WRIST USING OUR MEASURING METHOD, WE CAN NOT GUARANTEE A PROPER FIT. PLEASE DO NOT ADD ANY ADDITIONAL LENGTH TO YOUR MEASUREMENT.** ➤ After completing checkout, send me a message via ""Contact Shop Owner"" button on the shop home page or ""Ask A Question"" button under the listing title.A scan or very clear photo taken of the ink footprints will be perfect. You can use footprints (or handprints or one of each) usually done at the hospital or you can do your own using a nontoxic black ink pad. Please use white paper for best results. If you don't have black ink, it's okay, as long as it's a clear print. :) If you have any questions about your photos, please don't hesitate to ask. ➤ Upload your image and please be sure to include your order number along with with your kiddo's name along and the font you would like used. If no font is chosen, I will use the one pictured, which is Typewriter. Please send the wrist measurement as well.➤ Or you can email me at  metamorphosisdesignstudio11 [!at] gmail.com with all info if you would like.✷ If you do not have footprints, no worries, I can use a template for you. ❮ MADE WITH LOVE ❯Your jewelry is always made with the finest quality materials and with the utmost love and care. Each piece is packaged in a eco-friendly kraft box wrapped with ribbon ready for gift giving. Also included are care instructions, and storage bag to keep your item looking beautiful.Are you having a gift shipped directly to your friend or loved one? Please leave me a message letting me know and I will be sure to leave the receipt out. Upon request I can also include a note with your own personal message. ♥︎❮ PRODUCTION TIMES ❯➤ Please keep in mind that each design is handcrafted by me when your order is placed. Most orders are ready to ship in 5 -7 business days. Please check my policies page for up to date production time during the holidays. ➤ NOTE ‣ Production time is the time it takes to create each piece and does NOT include shipping time. ➤ If you need your item by a specific date. Please contact me prior to submitting your order to ensure that I can accommodate the requested time frame. ❮ EXPEDITED SHIPPING ❯➤ At checkout you can choose your preferred shipping method - First Class Mail , Priority 2-3 Day or Express 1-2 Day. Ship time does NOT include production time. Please contact me letting me know when you are needing your item by. ➤ Keep in mind that international orders can take up to 3-4 weeks for delivery. However, normal delivery takes about 1 1/2 weeks.➤❮ SHOP POLICIES ❯➤ Take just a second to check out my shop polices page for more details about all my polices. Please do not hesitate to contact me with any questions you may have. https://www.etsy.com/shop/MetamorphosisDS/policy❮ SEE MY ENTIRE SHOP HERE ❯ ❤︎ www.etsy.com/shop/MetamorphosisDS❮ CONNECT WITH ME ❯❤︎ www.facebook.com/MetamorphosisDesignStudio/❤︎ www.instagram.com/metamorphosisdesignstudio/THIS ITEM IS COPYRIGHT PROTECTED.",In stock,2
Kids Superhero Bracelets,8.35,205.0,CharmingWeyand,"['Handmade item\n\nBracelet length: 6 Inches\n\nClosure: Buckle', 'Made to Order']",Superhero themed kids paracord bracelet. Great for boys or girls.,Only 1 available,27
Hex Nut Paracord Bracelet,20.84,160.0,doucwhaticByJLew,"['Handmade item\n\nBracelet width: 1 1/4 Inches\n\nMaterials: 550 paracord, clip, hex nut']","Hex Nut Paracord BraceletMade with about 15 feet of cord and about 10 hex nuts.The color combinations are endless, just ask!",Only 1 available,31
Personalized Thin Paracord Bracelet w/ Customized Stainless Steel Engraved ID Tag Perfect for Kids & Ladies,38.99,4178.0,ArcticSummit,"['Handmade item', 'Materials: Nylon, Stainless steel', 'Adjustable: Yes', 'Can be personalised: Yes\n\nBracelet width: 1/2 Inches\n\nMade to Order']","ORDERING/ENGRAVING INSTRUCTIONSINCLUDE THE FOLLOWING INFORMATION WHEN ORDERING• OUTSIDE CORD COLOR:• INSIDE CORD COLOR:• ENGRAVING FONT: (SEE FONT OPTIONS IN PHOTOS)• TEXT LINE 1: (MAX 20 CHARACTERS)• TEXT LINE 2: (MAX 20 CHARACTERS)• TEXT LINE 3: (MAX 20 CHARACTERS)• PROOF IMAGE REQUESTED? YES/NOTo add double sided engraving to this item, please include the double sided add on with your order. http://etsy.me/2vdFtM4I M P O R T A N TWe engrave exactly what you submit with your order. If you make a spelling error, we are not able to rectify it after your item has been engraved. Please double check your spelling and punctuation. Please be sure to submit your text exactly as you would like it engraved. If you would like your engraving in all capitals, please submit your text in all capitals.WRIST MEASUREMENTUse your exact wrist measurement to place your order. ROUND UP to the next closest measurement if your exact size is not listed.DO NOT ADD ADDITIONAL LENGTH TO YOUR WRIST MEASUREMENTWHAT HAPPENS NEXTIf a proof image has been requested, you will receive a message within 48 hours containing the proof image for your approval. Please respond to let us know if the image meets your approval or if changes are needed. Once the image meets your approval, your item will be engraved. If a response is not received within 48 hours, we will assume the image meets your approval. Failing to respond to the proof image message will result in a 3 to 4 day processing delay. Due to the amount of customization and personalization of these items and the volume of orders we receive, please allow one full week for your order to be processed.ARCTIC SUMMIT’S 550 PARACORD BRACELET• Hand made in the U.S.A. • Approximately 1/2"" wide • Custom Tailored to your wrist measurement • You will never find unsightly burn marks on any of our paracord products• All ends are lightly singed and tucked within the bracelet to create a secure & seamless design• Professionally packaged and ready for gift giving• Free cleaning cloth includedENGRAVED ID TAGS• Includes Free Single Side Engraving • Slightly curved to fit the contours of the wrist for a comfortable fit• Material: 16 Gauge Polished Stainless Steel • Color: Silver (Stainless Steel)• Notes: Colored Engraving is not availableArctic Summit is more than happy to provide proof images for your engraving. Please understand creating and designing custom proof images takes a considerable amount of time and creativity. This service is provided to you at no additional charge however, work on proof images will only begin after payment has been received. If a proof image is desired prior to placing an order, Arctic Summit requires a $5.00 non-refundable design fee.",In stock,969
"Paracord Bracelet! Handmade Survival Bracelets, Free Shipping to USA",8.35,3.0,WarrenParacord,"['Handmade item', 'Materials: Nylon, Plastic', 'Adjustable: No', 'Closure: Interlocking', 'Can be personalised: Yes\n\nBracelet width: 1 Inches']","Survival paracord bracelets: they look good, feel good and could save your life!  Made out of 550 lb rope, these bracelets come in all sizes and colors.  I have many in stock (pictured) and ready to ship. Let me know the color and length you would like during check-out, see photos for items in stock. Message me for custom colors and lengths. Free shipping in US. Thanks!",In stock,1
"Pick Your Own Set of 3 TWISTED Paracord Bracelets, Mens Womens Bracelet, Knotted Bracelet, Outdoor Basic Jewelry, Minimalist Bracelet",29.2,2312.0,Deepbluelegend,"['Handmade item', 'Materials: paracord 4mm', 'Style: Minimalist', 'Made to Order']","This is a listing for a set of 3 twisted Paracord bracelets in the colour of your choice.- 100% handmade in France- Made out of real Paracord 550, 4mm- the bracelet will wrap once around your wrist and makes for a nice subtle accessory bringing out the outdoor and adventurous person in you. Great to layer with other bracelets.- these bracelets make a great gift , the bracelets come in a fabric gift bag ready to be offered as a present.This bracelet is a great idea to extend your accessories to match as many outfits as possible.***** SIZEPlease pick your wrist size from the drop down menu.***** COLOUR1. Forest2. Khaki Green3. Desert4. Beige5. Brown6. Light Grey7. Silver Grey8. Black9. Blue10. Wild Sea11. Fire12. Turquoise13. Burgundy14. Neon 15. Dark Blue**********For the latest products and promo's follow the instagram account:@deepbluelegend",In stock,227
Paracord Slim Fish Hook Bracelet USA Made,22.26,1258.0,WarDoggParacord,No info,"War-Dogg ParacordProudly Made in the USAWar-Dogg Paracord Bracelets are made of authentic 550 type III Mil-Spec Paracord purchased from local suppliers and handmade in our Pennsylvania home by our War-Dogg family.The War-Dogg Fish Hook BraceletThe color listed is shown in the photo, however, i can customize just about any solid or camouflage as well, simply add your custom color into the ""message to seller"" box upon completion of purchase.OVERVIEW:° Made to order item ° Made in USA with the highest quality materials available° Shipped in the USA and always within 24 hrs of purchase!!Important: Please note: when measuring your wrist for this fish hook bracelet, please choose your closest ACTUAL wrist size from the drop down menu.  Each bracelet is custom made to fit your needs.I cannot accept any exchanges if you've made a sizing mistake so please double check your measurement for accuracy.X-Small - 7"" inchesSmall - 7.5"" inchesMedium - 8"" inchesLarge - 8.5"" inchesX-Large - 9"" inchesCustom - Msg inches (Please note: 10"" inches maximum size)It is very important to the War-Dogg Paracord family that our customers are 100% satisfied with their purchase. If for any reason you are not satisfied with your purchase, simply return it with no questions asked and receive your full purchase price back. Please note, returns will only be accepted within 14 days of purchase. Thank you very much for looking",In stock,271
Royal Corp of Transport Paracord Bracelet Wristband Great Gift,18.1,980.0,UKForcesGifts,"['Handmade item', 'Adjustable: No', 'Made to Order']","The Royal Corp of Transport (CROT) Badged Survival Bracelet This regiment inspired bracelet features the regiment colours with a choice of buckles and badged logo.Handcrafted from Tactical Edge 550 paracord with a 7 strand inner core so they are extremely strong when deployed. All out Tactical Edge items are hand made to order so please leave an extra day for shipping Please choose a size to fit your wrist from 6"" to 9"" Available BucklesPlease choose from 4 different buckles1: Standard - Basic buckle2: Flint - Buckle with flint, scraper and whistle3: Compact buckle with compass, flint, scraper and whistle4: Large buckle with compass, flint, scraper and whistle",In stock,116
Camouflage Mad Max Bracelet | Military bracelet | Survival | Beach,30.0,50.0,Onimen,"['Handmade item', 'Materials: Nylon', 'Made to Order']",Mad Max Camouflage Paracord Bracelet.Made with 100% USA 550 Paracord.,In stock,11
Survival Bracelet 550 Paracord Cobra Knot with Mad Max closure and diamond knot unisex rugged camping or hiking gear,12.0,8.0,ParacordDreamsShop,"['Handmade item', 'Materials: Nylon', 'Closure: Slide lock', 'Adjustable: Yes', 'Made to Order']","This is for one bracelet is made with 550 Paracord and a ""Mad Max"" style closure for maximum comfort, finished with a Diamond Knot. They are done in a Cobra weave and will contain approximately 8 total feet of cord depending on wrist size.You may choose any of the colors for your bracelet: Please see the last pictures of this listing for examples. If you would like it to be 2 colours, select Request Custom and add in the comments which 2 colour you want on the inside and which colour on the outside. See the lest image for an example****If you want 2 colours, add the primary (inside colour) from the drop down list. After adding the bracelet to the cart, there will be a box labeled ""optional notes to buyer"". Please specify the 2 colors you want in this box. If you have any issues, please convo me.*********EACH BRACELET IS MADE FOR YOUR EXACT WRIST SIZE. PLEASE SELECT FROM THE DROP DOWN MENU YOUR EXACT WRIST SIZE. I ADD THE APPROPRIATE AMOUNT TO GIVE YOU A BRACELET THAT FITS ******If you are in between sizes, please select the next larger size. If you have any questions, please convo me.Please note that paracord colors vary depending on the manufacturer's lot. The colors are close but they can have variations.Most orders ship within 2-3 days, if not sooner!Makes a great stocking stuffer or small gift for any occasion and any person!",In stock,1
Paracord bracelet snakeknot sandstorm and army green,40.8,159.0,Studiosiesoo,"['Handmade item\n\nBracelet width: 2 Centimetres\n\nMaterials: paracord', 'Closure: Slide clasp', 'Adjustable: Yes', 'Style: Minimalist', 'Can be personalised: Yes']","At Studio-siesoo you can buy the most beautiful jewelry, such as this unique handmade item. What we have designed with love.Our jewelry is made with the best materials. All parts of the jewelry are selected for quality.In our jewelry we only use real materials such as: sterling silver, titanium, gold-plated sterling silver, precious stones, semi-precious stones, crystal, etc.If you have questions about how certain gemstones work, you can send me a message about this, and I will send a detailed description about your gemstone.Our paracord bracelets are made of very high quality cordFor this series, I have choosen for the d-schackle.This is made of stainless steelThe finish is very sturdy and the bracelet can also be washed in the washing machine.Our jewelry is suitable for every occasion!Do you like mixing and matching?Our jewelry is also available in sets send me a message for this. And we look at what we can design especially for you.What is also nice is that we make jewelry with your personal birth stone. For the possibilities you can also contact me.You can buy our jewelry safely and easily in our web store.But we can also be found at various fairs throughout the Netherlands.Follow us on Facebook for the fairs where you can find us:https://www.facebook.com/siejesoo.blogor on Instagram:@studiosiesooWe ship every order as quickly as possible and packed as carefully as possible",Only 1 available,27
Paracord Bracelet,20.87,0.0,WillowbillysWorkshop,"['Handmade item', 'Materials: Nylon', 'Can be personalised: No', 'Adjustable: No', 'Closure: Buckle\n\nBracelet length: 8.75 Inches; Bracelet width: 1.25 Inches']",Black woven paracord bracelet with a pink plastic buckle,Only 1 available,No review
Red Cobra Paracord Bracelet,16.48,96.0,DentonCreekStore,"['Handmade item', 'Adjustable: No', 'Closure: Buckle\n\nBracelet width: .75 Inches\n\nMade to Order']","All bracelets are handmade to order.  Please allow 3-7 days to ship.This is a cobra weave 550 paracord bracelet. It is handmade in one color and comes standard with the 1/2″ plastic side release buckle.The bracelet is 550 pound tested, has a 7 strand core and is made from 100% nylon with a diameter of 5/32 Inches. It is also waterproof, mold, and mildew resistant. This paracord is made in the USA.Bracelets are made by wrist measurement… not the length of the bracelet. Take a cloth measuring tape, piece of string or one-inch wide piece of paper to measure your wrist. Please be sure your wrist measurement is accurate, I cannot be responsible for bracelets that do not fit.",In stock,22
Wolf cross paracord bracelet. Cross of Olaf. Bronze pendant. Viking paracord bracelet. Berserkerparacord. Germanic. Nordic. Fossi. Norwegian,55.58,82.0,BerserkerParacord,"['Handmade item', 'Materials: Bronze', 'Can be personalised: Yes', 'Made to Order']","When buying, send me the exact size of your wrist in centimetres (cm)! Write also the colour(s) you want your bracelet to be.The clasp on the bracelet is a wolf´s cross. The wolf´s was worn by pagans and christians. The symbol indicates the right path in life. Also it gives courage, fearlessness and indefatigability. The wolf on the wolf´s cross symbolizes Fenrir, a monstrous wolf in Norse mythology. The cross is also sometimes called ""the Cross of Olaf II of Norway"". Olaf was a symbol of Norwegian indepence and pride.The original wolf´s cross was found in Ireland, in Fossi, and dates from the 10th century.The pendant is made from bronze. The pendant is 41x21 mm.For this bracelet I will use USA paracord. You can choose yourself which colour you want the bracelet to be! Almost every colour is available.Normally I will ship the bracelet in 3 days. It can happen that my paracord supplier has a delay, so the braclet will be shipped in max 5 days. Shipping time is from a couple days to max 2 weeks.I ship with PostNL. The pendant is very individualy made, so I do not accept returns.",Only 1 available,30
Custom Adjustable Paracord Bracelet HSB,16.62,0.0,305Paracord,No info,"This is the perfect gift for anyone that loves the outdoors and wants something different than what is out there. Both bracelet options have Commercial 550 Paracord.I like to call this pattern the ""Heart Shaped Box"" with the ideas of making the bracelets thinner and still be able to have a few custom color options.The bracelet width is about 1/2 inch (13mm) and 3/8 inch (9mm)The bracelets are made adjustable, and the sizes are basically to help get the full pattern around one's wrist.  The adjust-ability of each bracelet is between 3 - 4 inches (7.5 - 10 cm) to help make sure that they can be taken off comfortably without squeezing the hand.  Please see the guides below for size reference:Small - for children up to size medium ( approx 6 inch / 15 cm weave , generally for children up to size Medium)Medium - for more grown up children and adults ( approx 7 inch / 17.5 cm weave, generally up to size Medium in adults)Large - for those with a large wrist ( approx 8 inch / 20 cm weave)To find out your wrist size, get a cloth tape measure. Wrap it around your wrist and where the tape measure meets that is your wrist size. If you don't have a tape measure a string or inch way strip of paper will work with a ruler. Wrap the string around wrist, mark the string where they meet. Then measure the distance between the two marks.The length of the weave will match the wrist sizes selected for a wrap around fit.Please include the colors you would like to use in the pattern with ""1 - color1; 2 - color2; 3 - color3"" in the personalization fieldAll the materials used in the bracelet are made in USA. The bracelets are proudly handmade in the county of Dade",In stock,No review
Thor's Hammer Stitched Paracord Bracelet (v. 1),98.76,951.0,ValhallaParacord,No info,"Paracord bracelet featuring a stainless steel Mjölnir (Thor's hammer) closure.  This bracelet features a beautiful center stitching.  Pictured is a jet black bracelet with burgundy stitching. This bracelet can be made in your choice of colors. Please select the sizing option that reflects your ACTUAL wrist size (measure where you will wear the bracelet).  It is important to utilize your actual measurement, as we will add some space for comfort (which depends upon the bracelet design/weave).  The easiest way to measure your wrist is with a soft measuring tape (tailor's); however, it is also possible to use a string or piece of paper.  Place the string or strip of paper around your wrist and mark where the ends meet.  Remove and measure the distance between these ends with a ruler.  It is important to provide accurate measurements, as bracelets are made to order specifically based upon the data you provide.",Only 1 available,213
Hers Thin Orange Line Paracord Bracelet,11.13,97.0,8thLineApparel,"['Handmade item', 'Materials: Paracord, Buckle', 'Adjustable: No', 'Closure: Buckle', 'Made to Order']","Search and Rescue units use high visibility colored gear and one of the most common colors is Orange. Hence, the use of the Thin Orange Line is significant to represent their strength, courage and fortitude in their operations. The Thin Orange line includes Local, County, State and Federal government SAR First Responders, Volunteer SAR, and private agency SAR personnel. They are called upon at times to risk their lives to save others and they do so without hesitation.",Only 1 available,16
"Army Green And Black Paracord Fishtail Bracelet And Lanyard, Custom Made To Fit you",30.6,9.0,Sparkelites,"['Handmade item', 'Materials: Polyester', 'Closure: Buckle', 'Style: Boho & hippie', 'Can be personalised: Yes', 'Made to Order']","Material: 550 Type III  Paracord and Micro ParacordClosure: Plastic BuckleLength: Custom-made to fit This set of bracelet and lanyard is handmade keeping in view your size, so measure your wrist accurately in order to have a perfect size. Give us the size of your wrist and we'll add an inch to make the bracelet a perfect fit, neither too tight nor too loose. Hence don't forget to send us your size while placing your order. The Lanyard is also made to match your size. It can be used for your nametags or to hold your keys.Important to note is that the color may slightly vary on different screens.",Only 1 available,4
Gun Metal Cross And Black Paracord Buckle Bracelet Size L 7-8in wrist,18.07,78.0,HonoringOthers,No info,Gun Metal Cross and Black Paracord Buckle Bracelet Size Large 7-8inch. The item is already made and ready to go for shipping.  This item is hand made by a medically discharged combat veteran 11B Infantry soldier.  Every item I touch is given attention to detail to make sure you are happy with your item.,Low in stock,18
"Custom Paracord Bracelet, Shark Jawbone, Shark Tooth Jewelry, Mens Jewelry, Gifts for Him, Gifts for Groomsman, Best Man Gift, School Colors",13.76,440.0,OneTrueNorthDesigns,"['Handmade item', 'Materials: 550 Paracord', 'Style: Brutalist', 'Adjustable: Yes\n\nBracelet width: 3/4 Inches\n\nMade to Order']","Careful, this one has teeth! Team colors, school colors, or just your favorites, you get to choose. This paracord bracelet makes quite the statement. Matching sets make the perfect affordable groomsman gift. Comes with a durable black plastic buckle, or upgrade to a gunmetal steel shackle. Bracelet comes in a craft style jewelry box with a hand stamped wax seal.Shop more paracord crafts, and other items - www.etsy.com/shop/OneTrueNorthDesigns---SIZING INSTRUCTIONS---Use a measuring tape or a piece of string to measure the size of your wrist. Round up to the nearest 1/2 inch. For example, if you have a 7 1/4 inch wrist, order a 7 1/2 inch bracelet. Bracelets are made to fit that size and will be made 1-2 inches larger (depending on the style) than the size ordered for a perfect fit.---PLEASE NOTE---Colors may vary on different screens.---SHIPPING & ORDERS---Be sure to double check the shipping address before placing the order. Once orders have been shipped out, I can't change the address. Orders shipped using USPS First Class Shipping by default.",In stock,89
"Paracord bracelet ""Bear Berserk Warrior"" viking-pagan-nordic-handmade-bronze-gift-viking bracelet-battle bear-berserk-viking jewelry",41.72,26.0,StuffmanCraft,"['Handmade item', 'Materials: Bronze']","Friends, I am glad to present you my new creation. Bracelet with unique design. Paracord strap and hand-cast bronze.Bracelet from the new collection.",In stock,5
"The Twin Spartan Premium Paracord bracelet with Spartan Shield, Brass Bead, Sparta, Viking, Warrior, Samurai, Edc, Lanyard Knife.",195.0,274.0,THREEBRCLT,"['Handmade item', 'Materials: Brass', 'Adjustable: No', 'Style: Victorian', 'Can be personalised: Yes', 'Made to Order']","Video showcase. https://youtu.be/6kBoejnV1o0Materials.- 2pcs Elite Spartan Bead in Brass Clear Coated- Spartan Shield in Brass Clear Coated- Catapult Shackle with Blade Brass Clear Coated- Atwood America Paracord rope (550)We do Custom work. Contact me before order. Leave a note for your wrist size and contact number as well.For other countries shipping costs which are not showed in this listing, contact me, i will check and update it.Feel free to ask :) Thank you.",Low in stock,58
"The White Mandarin Dragon Premium Paracord Bracelet, Brass Bead, Oriental, Spartan, oni, Hannya, Knife Lanyard, viking, Skull Bracelet.",123.8,274.0,THREEBRCLT,No info,"Video Showcase:https://youtu.be/ZJHLSccUSPEMaterials :- Mandarin Dragon White Brass Clear Coated. - Spine Shackle White Brass Clear Coated.-Dragon Scale White Brass Clear Coated. - Atwood America Paracord - Snake Knot Please contact Me before order. Leave a note for your wrist size and contact number as well For other countries shipping costs which are not showed in this listing, contact me, i will check it and update it.Thank you.",In stock,58
Bloodline - Spartan Edition Paracord Bracelet,122.41,951.0,ValhallaParacord,No info,"This paracord bracelet features Black 550 cord in unique weave pattern with a Blood Red Shimmer 550 cord accent.  It is set on a black (stainless steel) adjustable bow-shackle closure with a beautiful, hand-sculpted and cast (no 3D printed models) brass Spartan bead.Please select the sizing option that reflects your ACTUAL wrist size (measure where you will wear the bracelet).  It is important to utilize your actual measurement, as we will add some space for comfort (which depends upon the bracelet design/weave).  The easiest way to measure your wrist is with a soft measuring tape (tailor's); however, it is also possible to use a string or piece of paper.  Place the string or strip of paper around your wrist and mark where the ends meet.  Remove and measure the distance between these ends with a ruler.  It is important to provide accurate measurements, as bracelets are made to order specifically based upon the data you provide.",In stock,213
Blackout King Cobra Bracelet,22.24,64.0,FalloutParacord,"['Handmade item\n\nBracelet width: 1.25 Inches\n\nMaterials: Nylon', 'Closure: Buckle', 'Adjustable: No', 'Can be personalised: No', 'Made to Order']","This listing is for one handcrafted Blackout KING COBRA Paracord Survival Bracelet with a curved 5/8 side release buckle, and is made to order in the size you need.This bracelet is made with 100% Nylon 550 Paracord that is made in the USA and has been certified to meet military standards. In an emergency you can unravel your bracelet and use the cord. Each bracelet contains approximately 1 foot of Paracord for every inch, so the average Double Cobra contains approximately 15 feet of Paracord. When ordering, please provide your exact wrist size, and DO NOT add any extra to the length. We will adjust our measurements so your bracelet fits comfortably. If you do not have a measuring tape, you can wrap string or paper around your wrist and then measure that with a ruler. *Please make sure to provide accurate measurements, we will not be responsible if inaccurate information is provided.  **Please be sure to provide the measurements for the wrist you would like to wear your bracelet on, often times your wrists are different sizes and we want to make sure you have the best possible fit.  ***If you have any questions please be sure to seek clarification beforehand. **** IMPORTANT****Please keep in mind, colors may vary with different computer, tablet, and cell phone screens.Did you know Paracord is extremely versatile and can be used in many survival situations??  Below are just a few:- sutures - sling- tourniquet - makeshift stretcher- snare - rescue line- splint- shoe lace- dog leash",In stock,17
"Adjustable Paracord Bracelet for Men and Women,Cobra Knot With Stitching: Customizable / Personalised ( Choose your Colors)",16.99,9.0,Sparkelites,"['Handmade item', 'Materials: paracord, nylon, beads, paracord 550, paracord 95', 'Style: Boho & hippie', 'Can be personalised: Yes', 'Adjustable: Yes', 'Closure: Lanyard', 'Made to Order']","Step 1:  Choose your primary and secondary colors from the given options.Step 2:  Message us Material: Paracord 550 Type III for the weave, Paracord 95 for stitchingPrimary and Secondary Colours: Choose from the given optionsWidth: 12mmClosure: Knot and LanyardThis is a survival bracelet made as per your order. Premium quality paracord is used to weave ( Mil-spec 550, 7 strands). It's made using cobra knot and is weaved to perfection. After weaving, the bracelet is adorned with a needle and micro cord in a contrasting color. The bracelet is adjustable and can fit almost any size. The ends of the bracelet are melted and burned so as to assure it's strength and durability. It is long-lasting and will make a great addition to your list of accessories. Note: Colors might seem slightly different according to the various types of screens",Only 1 available,4
Paracord Bracelet for Men and Women- Customised/ Personalised ( Choose your Color & Give your Size),8.99,9.0,Sparkelites,"['Handmade item', 'Materials: paracord, plastic, nylon', 'Adjustable: No', 'Closure: Buckle', 'Style: Boho & hippie\n\nBracelet width: 12 Millimetres']",Material: Paracord 550 Type III ( 100% Nylon)Size: You give your size in centimetersColour: You choose from the given optionsWidth: 12mmBuckle material: PlasticThis is a survival bracelet made as per your order. It's made using cobra knot and is weaved to perfection. The ends of the bracelet are melted and burned so as to assure it's strength and durability. It is long-lasting and will make a great addition to your list of accessories.,Only 1 available,4
Red & Blue Cobra Paracord Bracelet,17.87,96.0,DentonCreekStore,"['Handmade item', 'Adjustable: No', 'Closure: Buckle\n\nBracelet width: .75 Inches\n\nMade to Order']","All bracelets are handmade to order.  Please allow 3-7 days to ship.This is a cobra weave 550 paracord bracelet. It is handmade in one color and comes standard with the 1/2″ plastic side release buckle.The bracelet is 550 pound tested, has a 7 strand core and is made from 100% nylon with a diameter of 5/32 Inches. It is also waterproof, mold, and mildew resistant. This paracord is made in the USA.Bracelets are made by wrist measurement… not the length of the bracelet. Take a cloth measuring tape, piece of string or one-inch wide piece of paper to measure your wrist. Please be sure your wrist measurement is accurate, I cannot be responsible for bracelets that do not fit.",In stock,22
Paracord Hex Nut Bracelet,14.4,72.0,KnottyGeckoHandCraft,"['Handmade item', 'Materials: paracord, hex nut, buckle', 'Adjustable: No', 'Made to Order']",Hand tied paracord bracelet with hex nut center. The bracelet is flexible and comfortable. it is 1.5 in x wrist lenght. Your choose of 1 color.,In stock,18
Cordbraid Paracord Bracelet of The First Class - Skull Bracelet,81.75,514.0,Cordbraid,"['Handmade item', 'Materials: Bronze, Nylon', 'Adjustable: No', 'Style: Brutalist', 'Can be personalised: Yes']","This is a Nylon 550 Type III parachute cordwith a bronze rod clasp and a skullEach bracelet is made by me, 100% handmade.Available in different sizes, after ordering simply send the wrist size.(first measure then order)Colors: can also be ordered in other colorsRibbon width: 1 cm------------------------------------------------------------------------------------------------------------------------------------------------Skull:Material: BronzeDimensions approx. HxWxD: 2 cm x 1 cmThe very nicely worked trailer---------------------------------------------------------------------------------------------------------------------------------------------------.Other bracelets with Thor Hammer:https://www.etsy.com/de/listing/615571265/cordbraid-wikinger-mjolnir-armband-der?ref=shophomeactive5https://www.etsy.com/de/listing/615946530/cordbraid-wikinger-armband-der?ref=related-5https://www.etsy.com/de/listing/615169693/925-sterling-silber-wikinger-armband?ref=shophomeactive82https://www.etsy.com/de/listing/601732258/cordbraid-wikinger-armband-der?ref=shophomeactive80You can find even more men's bracelets, jewelry for males, Viking jewelry in my shop:https://www.etsy.com/de/shop/Cordbraid",Low in stock,96
MADE TO ORDER Marvel Hulk paracord bracelet,8.35,42.0,GneissCreations,No info,Made to order Hulk paracord bracelet.,Only 1 available,14
